"","TimeofDay","AirTemp","Humidity","Dewpoint","BarPres","WindSpeed","SolarRad"
"9716",500,14.88,53.02,5.33,101.21,1.811,4.17
"9717",515,16.08,43.8,3.78,101.22,1.213,4.17
"9718",530,16.14,45.41,4.35,101.27,1.682,4.17
"9719",545,15.83,48.73,5.07,101.29,2.191,4.17
"9720",600,15.7,51.97,5.86,101.35,2.33,4.17
"9721",615,13.86,70.8,8.65,101.49,2.751,4.18
"9722",630,14.34,73.6,9.7,101.45,2.691,13.24
"9723",645,14.37,81.3,11.23,101.39,2.56,25.81
"9724",700,14.31,86.6,12.11,101.37,1.888,48.17
"9725",715,14.74,87.5,12.71,101.33,1.484,128.3
"9726",730,15.54,85.3,13.09,101.33,1.632,175.8
"9727",745,15.89,83.8,13.18,101.33,1.653,238.1
"9728",800,16.54,82.1,13.5,101.32,1.729,282.1
"9729",815,17.14,79.6,13.6,101.3,1.675,319.8
"9730",830,17.58,78.3,13.77,101.29,1.859,346.3
"9731",845,17.97,76.9,13.89,101.27,2.067,419.7
"9732",900,18.63,74.6,14.05,101.26,2.025,413.7
"9733",915,18.54,75.3,14.1,101.27,2.13,366.8
"9734",930,19.01,74.4,14.38,101.28,2.207,438.4
"9735",945,19.06,71.4,13.78,101.28,2.469,258.8
"9736",1000,19.21,68.92,13.39,101.29,1.163,237.3
"9737",1015,19.77,67.04,13.5,101.31,1.12,279.6
"9738",1030,19.89,65.97,13.36,101.33,1.313,275.1
"9739",1045,20.29,63.65,13.2,101.34,1.116,358.3
"9740",1100,20.64,62.39,13.22,101.3,1.394,462.4
"9741",1115,20.87,61.18,13.14,101.26,1.107,474.9
"9742",1130,21.63,59.6,13.45,101.23,1.387,544.1
"9743",1145,21.56,60.84,13.7,101.23,2.141,521.1
"9744",1200,21.23,59.85,13.14,101.23,2.048,457.3
"9745",1215,21.48,58.16,12.93,101.22,1.688,449.5
"9746",1230,21.87,58.34,13.34,101.18,2.064,485.4
"9747",1245,21.77,56.67,12.81,101.14,2.05,473.8
"9748",1300,22.07,55.26,12.71,101.15,1.563,412.4
"9749",1315,22.17,55.43,12.84,101.13,1.534,329.4
"9750",1330,21.98,54.52,12.41,101.15,0.824,265.2
"9751",1345,22.25,52.97,12.22,101.16,1.251,281.7
"9752",1400,22.27,52.69,12.16,101.17,0.807,293.5
"9753",1415,22.57,52.52,12.39,101.2,0.856,250.3
"9754",1430,22.24,53.07,12.24,101.19,1.318,194.8
"9755",1445,21.99,55.08,12.58,101.2,1.594,187.9
"9756",1500,22,53.53,12.16,101.19,1.595,217.4
"9757",1515,22.15,52.57,12.02,101.16,1.043,204.7
"9758",1530,22.44,53.01,12.41,101.13,0.913,262.4
"9759",1545,22.52,52.39,12.32,101.13,1.454,232.5
"9760",1600,22.34,52.5,12.18,101.09,1.042,191.6
"9761",1615,22.24,52.44,12.06,101.06,1.189,125.4
"9762",1630,22.09,51.6,11.68,101,1.891,121
"9763",1645,21.94,54.7,12.42,101,1.237,127.5
"9764",1700,21.74,57.31,12.95,101.03,1.577,119.6
"9765",1715,21.67,57.15,12.84,101.04,1.272,73.4
"9766",1730,21.48,58.31,12.96,101.05,1.19,50.81
"9767",1745,21.35,59.63,13.2,101.07,1.051,38.54
"9768",1800,21.12,60.91,13.3,101.06,0.945,38.18
"9769",1815,21.03,61.36,13.33,101.05,1.026,29.83
"9770",1830,20.69,64.43,13.76,101.04,1.205,26.15
"9771",1845,20.37,66.32,13.89,101.03,1.087,23.86
"9772",1900,19.87,68.45,13.91,101.02,0.931,11.1
"9773",1915,19.62,69.46,13.9,101.01,0.879,5.66
"9774",1930,19.24,71.4,13.96,100.98,0.859,4.16
"9775",1945,19.05,71.7,13.83,100.98,0.87,4.14
"9776",2000,18.71,73,13.79,100.97,1.071,4.15
"9777",2015,18.53,73.4,13.71,100.96,0.933,4.15
"9778",2030,18.47,73.6,13.69,100.98,0.684,4.16
"9779",2045,18.33,74.4,13.71,101.01,0.502,4.15
"9780",2100,18.23,75,13.74,101.03,0.572,4.16
"9781",2115,18.3,74.9,13.78,101.04,0.826,4.16
"9782",2130,18.13,75.8,13.81,101.03,0.902,4.15
"9783",2145,18.04,76.3,13.82,101.02,1.015,4.17
"9784",2200,17.96,76.9,13.88,101.02,1.245,4.14
"9785",2215,17.93,77.2,13.9,100.99,1.738,4.16
"9786",2230,17.93,77.3,13.91,100.98,1.672,4.17
"9787",2245,18.02,76.4,13.81,100.98,1.972,4.17
"9788",2300,18.18,74.5,13.59,101.01,1.944,4.17
"9789",2315,18.27,73.2,13.39,101.02,1.482,4.17
"9790",2330,18.33,72.3,13.27,101.02,1.271,4.16
"9791",2345,18.22,72.7,13.26,101.02,1.348,4.17
"9792",2400,18.09,73.4,13.28,101.02,1.441,4.17
"9793",15,18,73.7,13.26,101,1.818,4.17
"9794",30,17.83,74.6,13.27,100.98,2.437,4.16
"9795",45,17.77,74.5,13.19,100.94,2.601,4.17
"9796",100,17.71,74.2,13.07,100.92,2.3,4.17
"9797",115,17.77,72.6,12.79,100.92,2.744,4.16
"9798",130,18.14,69.33,12.45,100.9,3.612,4.17
"9799",145,17.96,70.2,12.46,100.91,2.989,4.16
"9800",200,17.78,71.2,12.52,100.9,3.363,4.16
"9801",215,17.55,72.6,12.59,100.87,2.803,4.17
"9802",230,17.33,73.8,12.63,100.81,2.464,4.17
"9803",245,17.16,74.7,12.64,100.77,2.108,4.16
"9804",300,16.82,76.1,12.6,100.71,2.186,4.16
"9805",315,16.47,78.1,12.65,100.65,1.997,4.16
"9806",330,16.22,79.9,12.77,100.64,2.115,4.15
"9807",345,16.05,81.3,12.85,100.6,2.643,4.17
"9808",400,15.93,81.8,12.84,100.55,2.765,4.16
"9809",415,15.89,81.6,12.76,100.57,3.305,4.17
"9810",430,15.76,82,12.71,100.54,3.551,4.17
"9811",445,15.63,82.9,12.75,100.5,4.005,4.16
"9812",500,15.64,83.2,12.82,100.57,2.233,4.16
"9813",515,15.71,83.4,12.91,100.64,2.086,4.16
"9814",530,15.7,83.8,12.99,100.65,2.63,4.17
"9815",545,15.62,84.6,13.05,100.62,2.619,4.17
"9816",600,15.49,85.4,13.07,100.63,2.391,4.17
"9817",615,15.45,85.9,13.12,100.62,2.753,4.16
"9818",630,15.37,86.3,13.11,100.63,2.785,5.9
"9819",645,15.26,86.6,13.06,100.64,2.886,11.42
"9820",700,15.22,87,13.08,100.66,2.359,26.83
"9821",715,15.14,87.3,13.06,100.66,3.194,24.71
"9822",730,15.12,87.2,13.02,100.67,3.228,29.48
"9823",745,15.27,86.9,13.12,100.68,2.689,68.71
"9824",800,15.33,86.6,13.13,100.68,3.016,78
"9825",815,15.34,86.7,13.15,100.69,3.006,92.6
"9826",830,15.33,86.7,13.14,100.68,2.967,97.2
"9827",845,15.43,86.3,13.17,100.68,2.786,98.3
"9828",900,15.74,85.5,13.34,100.68,3.235,237.2
"9829",915,15.97,84.4,13.35,100.69,3.325,233.9
"9830",930,15.87,84.5,13.28,100.72,2.737,124.1
"9831",945,16.17,84.2,13.5,100.7,2.707,278
"9832",1000,16.71,82.1,13.65,100.71,3.106,340.2
"9833",1015,16.78,82.1,13.73,100.73,2.816,241.4
"9834",1030,17.11,81.3,13.89,100.72,2.94,285.1
"9835",1045,17.21,81.1,13.95,100.73,2.978,180.7
"9836",1100,17.29,81.4,14.09,100.74,3.131,370.2
"9837",1115,18.34,78.4,14.53,100.72,3.131,707
"9838",1130,19.17,75.5,14.76,100.69,3.04,513.3
"9839",1145,18.64,75.8,14.29,100.68,2.822,325.3
"9840",1200,18.61,76.5,14.42,100.69,2.339,334.7
"9841",1215,19.4,73.9,14.62,100.67,2.383,617.6
"9842",1230,19.66,72.7,14.63,100.68,2.607,410.6
"9843",1245,20.07,71.4,14.76,100.67,2.206,462.3
"9844",1300,21.22,68.14,15.12,100.67,2.259,957
"9845",1315,21.84,63.68,14.67,100.67,1.419,493.6
"9846",1330,22.42,62.91,15.02,100.66,1.507,517.3
"9847",1345,22.28,64.25,15.22,100.64,1.992,705
"9848",1400,23.14,60.56,15.11,100.62,2.347,670.1
"9849",1415,22.6,61.84,14.93,100.61,2.079,196.7
"9850",1430,22.53,62.07,14.92,100.6,2.771,194.1
"9851",1445,22.8,61.08,14.92,100.57,2.555,293.2
"9852",1500,23.64,56.1,14.39,100.55,2.433,393.8
"9853",1515,24.33,49.6,13.14,100.54,3.511,357.3
"9854",1530,24.08,51.64,13.53,100.54,2.932,417
"9855",1545,25.24,48.86,13.74,100.55,3.221,613.1
"9856",1600,25.18,48.94,13.72,100.54,3.234,419.3
"9857",1615,24.96,48.63,13.41,100.54,3.148,393.7
"9858",1630,24.86,47.36,12.91,100.55,2.527,301
"9859",1645,25.3,44.31,12.29,100.57,2.809,331.7
"9860",1700,25.09,44.31,12.1,100.56,2.599,217
"9861",1715,24.94,45.63,12.42,100.56,2.334,166.8
"9862",1730,24.55,44.81,11.79,100.58,2.75,112.2
"9863",1745,24.26,45.63,11.8,100.58,2.045,59.69
"9864",1800,24.04,46.93,12.04,100.56,2.654,42.25
"9865",1815,23.8,48.66,12.36,100.57,1.656,30.94
"9866",1830,21.97,65.97,15.23,100.57,2.283,16.48
"9867",1845,19.75,74.2,15.06,100.56,2.772,8.26
"9868",1900,18.91,75.4,14.48,100.52,2.506,4.9
"9869",1915,18.31,77,14.22,100.5,2.581,4.14
"9870",1930,17.76,80.2,14.31,100.56,2.982,4.13
"9871",1945,16.59,88.2,14.63,100.64,5.427,4.11
"9872",2000,15.98,93.3,14.91,100.6,3.278,4.12
"9873",2015,16.06,93.4,15.01,100.59,2.486,4.1
"9874",2030,15.73,93.9,14.75,100.6,2.443,4.12
"9875",2045,15.5,94.3,14.61,100.61,2.602,4.16
"9876",2100,15.19,94.4,14.3,100.63,3.289,4.16
"9877",2115,14.93,94.6,14.09,100.59,3.099,4.16
"9878",2130,14.76,94.9,13.96,100.59,2.771,4.16
"9879",2145,14.52,95.1,13.75,100.58,3.04,4.14
"9880",2200,14.34,95.3,13.62,100.61,2.657,4.16
"9881",2215,14.25,95.5,13.56,100.63,2.587,4.16
"9882",2230,14.13,95.7,13.47,100.59,3.287,4.16
"9883",2245,14.01,95.9,13.37,100.52,3.26,4.16
"9884",2300,13.95,96,13.34,100.6,2.619,4.17
"9885",2315,14.08,96.2,13.5,100.59,3.251,4.16
"9886",2330,14.16,96.2,13.58,100.55,2.645,4.16
"9887",2345,14.34,96.3,13.76,100.56,2.477,4.17
"9888",2400,14.55,96.3,13.98,100.56,1.949,4.17
"9889",15,14.54,96.3,13.97,100.51,1.571,4.17
"9890",30,14.55,96.3,13.98,100.55,0.963,4.17
"9891",45,14.86,96.3,14.29,100.52,1.853,4.17
"9892",100,15.21,96.4,14.66,100.5,2.429,4.17
"9893",115,16.41,96.4,15.85,100.51,3.478,4.17
"9894",130,16.86,94.9,16.06,100.48,3.967,4.17
"9895",145,16.87,92.7,15.7,100.42,3.019,4.17
"9896",200,16.73,92.9,15.59,100.39,2.706,4.17
"9897",215,16.7,92.6,15.5,100.37,3.213,4.17
"9898",230,16.65,91.6,15.29,100.34,3.637,4.17
"9899",245,16.59,91.1,15.16,100.3,3.847,4.17
"9900",300,16.43,91.9,15.13,100.3,3.344,4.17
"9901",315,16.37,92.4,15.16,100.3,3.341,4.17
"9902",330,16.3,93.1,15.19,100.3,3.578,4.17
"9903",345,16.26,93.5,15.23,100.34,3.755,4.17
"9904",400,15.6,91.3,14.22,100.36,5.663,4.17
"9905",415,14.58,90.2,13.01,100.34,5.073,4.17
"9906",430,14.43,90.3,12.88,100.34,5.063,4.17
"9907",445,14.5,90.3,12.93,100.4,4.14,4.17
"9908",500,14.32,91.8,13.01,100.37,3.424,4.17
"9909",515,14.2,92.3,12.99,100.38,3.803,4.17
"9910",530,13.97,90.2,12.41,100.39,4.676,4.17
"9911",545,13.76,88.5,11.91,100.4,4.862,4.17
"9912",600,13.57,88.8,11.76,100.4,4.971,4.17
"9913",615,13.48,88.1,11.57,100.41,5.043,4.63
"9914",630,13.56,86.8,11.42,100.42,4.963,7.84
"9915",645,13.31,88.3,11.43,100.44,3.776,19.59
"9916",700,13.35,86.2,11.1,100.45,4.554,127
"9917",715,13.29,85,10.83,100.46,4.388,94.7
"9918",730,13.42,84.2,10.82,100.46,4.383,189.4
"9919",745,13.38,85.2,10.97,100.48,4.243,196.6
"9920",800,13.52,83.9,10.86,100.48,5.089,244.3
"9921",815,13.66,79.9,10.26,100.5,5.731,380.8
"9922",830,13.42,78.9,9.85,100.51,5.742,167.4
"9923",845,12.94,78.7,9.35,100.54,5.789,59.53
"9924",900,12.55,76.2,8.48,100.55,6.089,145.7
"9925",915,12.17,76.2,8.12,100.57,6.503,110.2
"9926",930,12.33,75.2,8.06,100.59,5.439,341.3
"9927",945,12.61,72.6,7.83,100.59,6.325,271.3
"9928",1000,12.35,71.8,7.42,100.61,6.05,166.6
"9929",1015,11.91,72.2,7.08,100.65,5.627,107.9
"9930",1030,11.48,73,6.83,100.67,6.172,219.5
"9931",1045,11.73,72,6.87,100.68,6.222,370.1
"9932",1100,11.96,70.9,6.86,100.68,6.043,296.8
"9933",1115,10.9,72.5,6.17,100.71,6.979,93.4
"9934",1130,10.67,72.9,6.03,100.72,5.499,170.3
"9935",1145,10.43,73.2,5.86,100.74,5.863,90.3
"9936",1200,10.17,74.2,5.79,100.75,5.25,113.2
"9937",1215,9.95,72.6,5.27,100.77,6.075,110.7
"9938",1230,10.02,73.1,5.43,100.77,5.723,337.9
"9939",1245,10.05,71.9,5.22,100.78,5.844,204.5
"9940",1300,10.07,70.9,5.06,100.78,5.719,236.2
"9941",1315,9.17,75.9,5.14,100.81,6.043,48.3
"9942",1330,8.15,79.4,4.81,100.83,6.333,65.12
"9943",1345,8.31,75.5,4.23,100.84,5.359,162.9
"9944",1400,8.94,72.2,4.23,100.85,5.137,331.1
"9945",1415,9.06,71.1,4.11,100.87,4.919,101.5
"9946",1430,8.5,71.5,3.65,100.89,5.579,131.7
"9947",1445,8.82,69.6,3.58,100.9,4.045,171.1
"9948",1500,8.26,72.1,3.54,100.91,5.028,59.96
"9949",1515,8.12,71.3,3.23,100.92,4.531,83.1
"9950",1530,7.69,74.4,3.42,100.92,5.565,120.6
"9951",1545,7.27,76.1,3.34,100.94,5.209,60.47
"9952",1600,7.16,74.9,3.01,100.95,5.222,85.9
"9953",1615,6.932,73.9,2.6,100.96,5.779,47.62
"9954",1630,6.449,77.3,2.77,100.98,5.283,25.96
"9955",1645,5.94,80.9,2.92,100.98,5.379,22.16
"9956",1700,5.289,84.8,2.96,100.99,5.28,19.11
"9957",1715,4.899,87.4,2.99,100.99,4.857,25.87
"9958",1730,4.905,85.7,2.71,101.01,5.094,23.03
"9959",1745,4.82,85.5,2.6,101.01,4.499,16.34
"9960",1800,4.557,87.3,2.63,101.02,5.179,12.97
"9961",1815,4.188,88.8,2.5,101.03,5.813,14.47
"9962",1830,4.031,88.6,2.33,101.06,4.883,9.67
"9963",1845,3.846,89.5,2.29,101.08,5.223,6.35
"9964",1900,3.743,86.7,1.73,101.1,5.363,4.94
"9965",1915,3.762,86,1.63,101.13,4.378,4.17
"9966",1930,3.78,85.6,1.59,101.15,3.687,4.17
"9967",1945,3.818,85.2,1.55,101.17,3.426,4.17
"9968",2000,3.819,83.1,1.22,101.19,3.954,4.17
"9969",2015,3.748,82.9,1.11,101.21,4.058,4.17
"9970",2030,3.624,83,1.01,101.23,5.166,4.17
"9971",2045,3.485,81.6,0.65,101.25,5.539,4.17
"9972",2100,3.098,84.4,0.73,101.28,5.444,4.17
"9973",2115,2.408,90.4,0.99,101.3,4.664,4.17
"9974",2130,2.211,92.2,1.07,101.31,5.24,4.17
"9975",2145,2.078,93.2,1.09,101.31,4.857,4.17
"9976",2200,2.1,93.7,1.2,101.32,4.733,4.17
"9977",2215,2.26,93.9,1.39,101.32,4.914,4.17
"9978",2230,2.446,93.7,1.53,101.32,4.988,4.17
"9979",2245,2.634,93,1.63,101.32,4.979,4.17
"9980",2300,2.746,92.7,1.69,101.32,4.755,4.17
"9981",2315,2.835,92.2,1.69,101.32,5.286,4.17
"9982",2330,2.899,91.9,1.71,101.32,5.239,4.17
"9983",2345,2.997,91.8,1.79,101.32,5.033,4.17
"9984",2400,3.137,90.6,1.75,101.32,4.884,4.17
"9985",15,3.255,89.6,1.71,101.31,5.319,4.17
"9986",30,3.352,88.9,1.69,101.3,5.038,4.17
"9987",45,3.396,88.9,1.73,101.3,5.426,4.17
"9988",100,3.477,88.6,1.77,101.28,4.991,4.17
"9989",115,3.575,88.3,1.83,101.27,5.147,4.17
"9990",130,3.71,88,1.91,101.25,4.615,4.17
"9991",145,3.807,87.4,1.91,101.23,4.746,4.17
"9992",200,3.886,86.5,1.85,101.22,5.046,4.17
"9993",215,3.957,85.9,1.81,101.21,5.491,4.17
"9994",230,4.019,85.6,1.83,101.2,4.854,4.17
"9995",245,4.079,84.8,1.75,101.19,5.337,4.17
"9996",300,4.175,83.2,1.57,101.19,5.546,4.17
"9997",315,4.258,82.4,1.53,101.19,5.181,4.17
"9998",330,4.398,80.9,1.41,101.19,5.779,4.17
"9999",345,4.347,81,1.36,101.2,4.917,4.16
"10000",400,4.271,81.7,1.43,101.21,4.896,4.16
"10001",415,4.383,81.1,1.45,101.2,5.083,4.16
"10002",430,4.427,81.2,1.49,101.21,4.822,4.17
"10003",445,4.423,82.1,1.63,101.22,4.414,4.17
"10004",500,4.462,81.7,1.61,101.24,4.295,4.16
"10005",515,4.607,80.2,1.49,101.26,4.875,4.17
"10006",530,4.626,80,1.47,101.27,4.923,4.17
"10007",545,4.673,79.7,1.47,101.28,5.208,4.17
"10008",600,4.752,79.5,1.51,101.3,4.862,4.17
"10009",615,4.772,79.3,1.49,101.32,5.495,4.17
"10010",630,4.809,79.3,1.53,101.35,4.443,4.7
"10011",645,4.848,79.5,1.61,101.38,3.744,7.56
"10012",700,4.868,80,1.71,101.4,3.789,10.13
"10013",715,4.907,80,1.75,101.42,4.231,14.45
"10014",730,4.995,79.9,1.81,101.44,3.907,18.25
"10015",745,5.202,78.5,1.77,101.46,3.627,22.71
"10016",800,5.392,77,1.69,101.48,3.331,33.5
"10017",815,5.575,75.4,1.57,101.5,3.171,34.81
"10018",830,5.685,73.7,1.36,101.51,3.87,43.18
"10019",845,5.846,72.7,1.32,101.52,3.747,69.06
"10020",900,6.021,71.8,1.32,101.54,3.347,104
"10021",915,6.22,71,1.36,101.55,3.58,125.5
"10022",930,6.332,69.41,1.16,101.55,4.107,141.5
"10023",945,6.503,67.26,0.88,101.57,5.028,194.1
"10024",1000,6.669,67.24,1.03,101.6,4.415,156.6
"10025",1015,6.766,68.36,1.36,101.62,3.584,208.7
"10026",1030,7.1,66.13,1.22,101.63,5.1,228.8
"10027",1045,7.42,64.96,1.28,101.64,5.169,319.1
"10028",1100,8.16,62.34,1.41,101.65,5.248,472.3
"10029",1115,8.74,60.19,1.47,101.66,5.367,519
"10030",1130,9.03,58.9,1.43,101.67,4.96,612.7
"10031",1145,9.37,57.37,1.39,101.67,5.725,766
"10032",1200,9.95,55.41,1.45,101.68,5.88,809
"10033",1215,10.48,54.26,1.63,101.68,5.288,900
"10034",1230,11.16,51.28,1.49,101.66,5.298,830
"10035",1245,11.93,48.56,1.43,101.66,5.128,1018
"10036",1300,12.05,44.97,0.47,101.66,5.518,656.9
"10037",1315,12.43,42.28,-0.04,101.65,5.484,859
"10038",1330,13.29,37.07,-1.07,101.64,5.312,938
"10039",1345,13.65,34.4,-1.76,101.62,4.807,916
"10040",1400,14.15,32.57,-2.07,101.62,5.398,900
"10041",1415,14.5,29.64,-3.03,101.62,5.143,878
"10042",1430,14.83,29.9,-2.62,101.62,4.679,853
"10043",1445,14.94,28.17,-3.33,101.63,5.593,822
"10044",1500,14.91,28.08,-3.39,101.63,5.59,788
"10045",1515,15.2,28.45,-2.97,101.62,4.977,750
"10046",1530,15.74,28.01,-2.73,101.61,4.863,708
"10047",1545,15.67,27.25,-3.14,101.61,5.107,668.5
"10048",1600,15.73,25.56,-3.93,101.62,6.028,627.3
"10049",1615,15.7,25.63,-3.93,101.63,5.072,577.3
"10050",1630,15.99,25.38,-3.81,101.63,4.483,529.4
"10051",1645,16.08,25.43,-3.73,101.63,4.792,477.1
"10052",1700,16.1,24.81,-4.05,101.64,4.931,423.4
"10053",1715,16.03,25.37,-3.79,101.67,4.979,364.6
"10054",1730,16.06,25.84,-3.53,101.68,3.852,311
"10055",1745,15.96,26.32,-3.36,101.69,4.124,255.9
"10056",1800,15.89,25.64,-3.76,101.71,3.814,204
"10057",1815,15.69,25.13,-4.2,101.71,3.529,152.3
"10058",1830,15.36,28.54,-2.78,101.72,3.673,104
"10059",1845,14.91,29.35,-2.81,101.74,3.256,53.94
"10060",1900,14.48,30.54,-2.65,101.75,2.871,22.32
"10061",1915,14.16,31.25,-2.62,101.77,3.127,8.56
"10062",1930,13.57,33.55,-2.17,101.79,2.139,4.27
"10063",1945,12.7,37.91,-1.29,101.81,1.723,4.17
"10064",2000,11.67,43.48,-0.34,101.84,1.603,4.17
"10065",2015,11.98,41.38,-0.73,101.85,2.077,4.17
"10066",2030,11.85,42.11,-0.62,101.87,2.307,4.17
"10067",2045,11.06,46.21,-0.04,101.89,1.355,4.17
"10068",2100,10.72,46.97,-0.13,101.91,1.458,4.17
"10069",2115,10.34,49.05,0.12,101.93,1.394,4.17
"10070",2130,10.04,50.75,0.3,101.94,1.706,4.17
"10071",2145,9.73,51.71,0.27,101.95,1.421,4.17
"10072",2200,9.62,51.54,0.14,101.96,1.4,4.17
"10073",2215,9.68,50.78,-0.02,101.95,1.532,4.17
"10074",2230,9.6,50.92,-0.06,101.96,1.442,4.17
"10075",2245,8.83,55.13,0.32,101.98,1.266,4.17
"10076",2300,8.61,55.61,0.25,101.97,1.955,4.17
"10077",2315,8.74,54.83,0.16,101.96,2.072,4.17
"10078",2330,8.83,54.42,0.14,101.97,1.881,4.17
"10079",2345,8.76,54.81,0.18,101.98,1.908,4.17
"10080",2400,8.63,55.74,0.3,101.98,2.271,4.17
"10081",15,8.44,56.45,0.3,101.99,1.834,4.17
"10082",30,8.61,55.49,0.21,101.98,2.641,4.17
"10083",45,8.64,55.67,0.27,101.97,2.614,4.17
"10084",100,8.44,56.74,0.36,101.97,2.413,4.17
"10085",115,8.37,57.1,0.38,101.98,2.434,4.17
"10086",130,8.28,57.38,0.36,101.99,2.163,4.17
"10087",145,8.16,58.2,0.45,101.98,2.032,4.17
"10088",200,7.9,59.54,0.52,101.97,1.986,4.17
"10089",215,7.79,60.11,0.54,101.97,2.207,4.17
"10090",230,7.83,59.82,0.52,101.97,1.858,4.17
"10091",245,7.8,59.91,0.49,101.99,1.411,4.17
"10092",300,7.63,60.79,0.54,102.01,1.602,4.17
"10093",315,7.56,61.21,0.58,102.01,1.871,4.17
"10094",330,7.58,61.08,0.56,102.02,1.382,4.17
"10095",345,7.04,63.56,0.6,102.04,1.083,4.17
"10096",400,6.86,64.52,0.65,102.05,1.629,4.17
"10097",415,6.879,64.29,0.6,102.06,1.243,4.17
"10098",430,6.884,64.13,0.58,102.08,1.061,4.17
"10099",445,6.883,63.89,0.54,102.1,1.326,4.17
"10100",500,7.02,63.21,0.52,102.11,1.731,4.17
"10101",515,7.2,62.18,0.45,102.14,1.615,4.17
"10102",530,7.16,62.52,0.49,102.16,1.664,4.17
"10103",545,6.631,65.27,0.58,102.19,1.329,4.17
"10104",600,6.595,65.58,0.62,102.21,1.638,4.32
"10105",615,6.25,67.55,0.69,102.23,1.355,9.28
"10106",630,5.272,73,0.84,102.26,1.291,26.66
"10107",645,5.485,73.1,1.05,102.28,1.315,71.3
"10108",700,6.942,66.32,1.09,102.3,1.45,124.9
"10109",715,7.74,63.08,1.16,102.32,1.563,175.2
"10110",730,8.4,60.32,1.16,102.33,1.898,217.7
"10111",745,9.17,57.49,1.22,102.35,1.907,284.8
"10112",800,10.06,54.39,1.28,102.35,1.582,335.6
"10113",815,10.9,50.98,1.16,102.38,1.922,396.5
"10114",830,11.71,47.48,0.92,102.4,2.241,450.7
"10115",845,12.86,44.46,1.05,102.41,1.475,503.4
"10116",900,13.76,39.37,0.18,102.42,1.8,554.5
"10117",915,14.18,35.05,-1.04,102.42,2.427,603.5
"10118",930,14.41,33.52,-1.44,102.42,2.507,649.1
"10119",945,15,32.29,-1.44,102.43,2.315,693.3
"10120",1000,15.31,31.37,-1.56,102.44,2.758,716
"10121",1015,15.43,29.77,-2.17,102.45,3.212,766
"10122",1030,16.02,28.86,-2.07,102.46,2.124,807
"10123",1045,16.41,27.65,-2.3,102.47,2.779,838
"10124",1100,16.73,26.14,-2.78,102.47,2.451,864
"10125",1115,17.15,25.37,-2.83,102.47,2.519,891
"10126",1130,17.54,25.65,-2.35,102.46,2.408,909
"10127",1145,17.66,25.21,-2.49,102.44,2.377,924
"10128",1200,17.95,24.27,-2.75,102.43,2.187,938
"10129",1215,18.14,24.01,-2.75,102.42,2.157,946
"10130",1230,18.27,24.84,-2.17,102.4,1.927,953
"10131",1245,18.65,24.49,-2.04,102.38,2.09,954
"10132",1300,18.87,23.71,-2.27,102.37,1.918,949
"10133",1315,19.4,22.23,-2.73,102.35,1.938,944
"10134",1330,19.45,22.84,-2.3,102.34,2.238,933
"10135",1345,19.84,23.86,-1.36,102.32,2.411,918
"10136",1400,19.89,22.68,-2.02,102.31,2.18,899
"10137",1415,20.72,22.71,-1.31,102.29,1.456,876
"10138",1430,20.81,20.68,-2.51,102.27,1.636,849
"10139",1445,20.77,22.17,-1.61,102.25,2.134,818
"10140",1500,21.04,20.72,-2.27,102.24,1.809,785
"10141",1515,21.44,20.97,-1.79,102.23,1.85,746
"10142",1530,21.37,19.99,-2.51,102.23,1.859,704
"10143",1545,21.74,19.76,-2.35,102.22,1.695,663.8
"10144",1600,21.45,21.28,-1.58,102.22,2.869,623.7
"10145",1615,21.45,20.5,-2.09,102.2,2.008,539.5
"10146",1630,21.55,21.09,-1.63,102.18,2.008,442.7
"10147",1645,21.5,21.44,-1.44,102.19,1.993,437.1
"10148",1700,21.6,19.79,-2.46,102.19,1.616,362.4
"10149",1715,21.44,20.6,-2.04,102.2,1.392,290.5
"10150",1730,21.1,23.16,-0.73,102.2,1.683,238.6
"10151",1745,21.5,20.08,-2.33,102.21,1.02,267.4
"10152",1800,21.8,19.38,-2.57,102.22,1.046,206.9
"10153",1815,21.29,20.36,-2.33,102.22,0.976,134.9
"10154",1830,20.94,22.31,-1.36,102.22,0.998,107.9
"10155",1845,20.49,24.98,-0.2,102.23,0.573,45.09
"10156",1900,19.26,28.46,0.52,102.23,0.451,23.18
"10157",1915,17.87,32.42,1.14,102.23,0.524,8.84
"10158",1930,16.58,36.95,1.81,102.24,0.618,4.36
"10159",1945,15.15,43.98,2.97,102.24,0.466,4.17
"10160",2000,14.39,47.8,3.47,102.26,0.447,4.17
"10161",2015,13.63,50.04,3.42,102.27,0.447,4.17
"10162",2030,13.1,52.45,3.6,102.29,0.447,4.17
"10163",2045,12.96,58.72,5.09,102.32,0.625,4.17
"10164",2100,12.39,65.58,6.12,102.33,0.523,4.17
"10165",2115,11.36,67.65,5.6,102.34,0.447,4.17
"10166",2130,11.04,65.52,4.84,102.35,0.447,4.17
"10167",2145,10.96,63.57,4.32,102.35,0.452,4.17
"10168",2200,10.76,62.49,3.9,102.35,0.447,4.17
"10169",2215,10.5,69.76,5.24,102.36,0.447,4.17
"10170",2230,10.15,70.2,4.97,102.36,0.447,4.17
"10171",2245,9.91,69.96,4.71,102.35,0.447,4.17
"10172",2300,10.17,75.4,6.03,102.36,0.635,4.17
"10173",2315,9.82,75.5,5.72,102.36,0.447,4.17
